.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
IDDLNTM10.A_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM10.A_R2	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	0.25
IDDLNTM10.B_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM10.B_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM100_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM100_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM101_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM101_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM102_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM102_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM105_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM105_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM107_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM107_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM108.A_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM108.A_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM108.B_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM108.B_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM109_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM109_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM111_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM111_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM112_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM112_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM113_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM113_R2	1	1	0.25	1	0.25	1	1	1	1	0.5	0.25
IDDLNTM116_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM116_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM117_R1	1	1	0.25	1	0.25	1	1	1	1	1	0.25
IDDLNTM117_R2	1	1	0.25	1	0.25	1	1	1	1	0.5	0.25
IDDLNTM12.A_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM12.A_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM12.B_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM12.B_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM120_R1	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
IDDLNTM120_R2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	0.25
IDDLNTM121_R1	1	1	0.25	1	0.25	1	1	1	0.25	1	0.25
IDDLNTM121_R2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	0.25
IDDLNTM124_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM124_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM126_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM126_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM127_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM127_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
IDDLNTM128_R1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.25
IDDLNTM128_R2	1	1	0.25	1	0.25	1	1	1	0.5	0.5	0.25
