Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
IDDLNTM10.A_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.794847817545822e-05)	(5, 1.794847817545822e-05)	(6, 3.589695635091644e-05)	(7, 3.589695635091644e-05)	(8, 5.3845434526374663e-05)	(9, 7.179391270183288e-05)	(10, 0.00023333021628095687)	(15, 0.0004199943893057223)	(20, 0.0023763785104306684)	(25, 0.09822843135864774)	(30, 0.8736170473209832)	(35, 2.5441860122842974)	(40, 4.158816750165978)	(45, 6.635462639076027)	(50, 8.468300205528024)	(55, 10.93640620852219)	(60, 12.890632922570443)	(65, 15.451410508080135)	(70, 17.44666026384622)	(75, 20.045215806219613)	(80, 22.0441378206204)	(85, 24.64126825382666)	(90, 26.62708428946372)	(95, 29.11090956964395)	(100, 31.034042340101045)	(105, 33.38577041060554)	(110, 35.28991728084863)	(115, 37.4928955436262)	(120, 39.34878254575112)	(125, 41.39472598327597)	(130, 43.2190559710728)	(135, 45.110961979200226)	(140, 46.272504923716276)
IDDLNTM10.A_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00019743325993004041)	(4, 0.00048460891073737194)	(5, 0.0010948571687029514)	(6, 0.0011845995595802425)	(7, 0.0018845902084231132)	(8, 0.0023153536846341103)	(9, 0.002584580857265984)	(10, 0.007269133661060578)	(15, 0.012082915507718473)	(20, 0.016275680009505515)	(25, 0.020299728816443246)	(30, 0.024549928448391753)	(35, 0.02908012433987741)	(40, 0.04258814901472727)	(45, 0.05968586932466876)	(50, 0.06466477717054087)	(55, 0.06932779180052492)	(60, 0.07356004295429798)	(65, 0.07853895080017008)	(70, 0.08697114584700034)	(75, 0.3929029563476857)	(80, 1.5117213434148737)	(85, 3.1400360010575246)	(90, 5.1635869172106705)	(95, 7.347471588905185)	(100, 9.568926015116569)	(105, 11.849958619783568)	(110, 14.217987498167014)	(115, 16.581389258876822)	(120, 18.980777718328433)	(125, 21.40346330245178)	(130, 23.718824166477162)	(135, 26.186797350732824)	(140, 27.342388579885895)
IDDLNTM10.A_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.794847817545822e-05)	(5, 1.794847817545822e-05)	(6, 3.589695635091644e-05)	(7, 3.589695635091644e-05)	(8, 5.3845434526374663e-05)	(9, 7.179391270183288e-05)	(10, 0.00020102295556513207)	(15, 0.0004523016500215471)	(20, 0.0024338136405921344)	(25, 0.10102480425838414)	(30, 0.9030022957898435)	(35, 2.630622293481669)	(40, 4.296707728596754)	(45, 6.835839449426842)	(50, 8.70692522287074)	(55, 11.220110623650386)	(60, 13.190828399446252)	(65, 15.780391754253746)	(70, 17.79458792358184)	(75, 20.397720327889978)	(80, 22.368775535075542)	(85, 24.930565414754334)	(90, 26.901380112332344)	(95, 29.388364324671453)	(100, 31.309759682441165)	(105, 33.65383811154728)	(110, 35.52672232250436)	(115, 37.69523950718504)	(120, 39.505950189742336)	(125, 41.51161365254582)	(130, 43.28431663771877)	(135, 45.12008339580899)	(140, 46.226520922630755)
IDDLNTM10.A_R2 - polyg	(1, 0.21714068896669356)	(2, 0.22044320895097785)	(3, 0.22281240807013836)	(4, 0.22530724653652703)	(5, 0.23009949020937437)	(6, 0.23255843171941215)	(7, 0.23469430062229168)	(8, 0.23641735452713566)	(9, 0.23846348103913792)	(10, 0.24489262592158706)	(15, 0.25176330336715247)	(20, 0.25644785617094706)	(25, 0.2606190824989235)	(30, 0.26402211396099046)	(35, 0.26733181333654493)	(40, 0.2709143295803664)	(45, 0.2740553132610716)	(50, 0.27681219950882197)	(55, 0.28013625766691674)	(60, 0.28292186147974796)	(65, 0.2857649004227405)	(70, 0.2887515271911368)	(75, 0.29179558908969444)	(80, 0.29458837229379575)	(85, 0.29736320701972163)	(90, 0.3000949653980263)	(95, 0.3035159453382687)	(100, 0.3332422148924626)	(105, 0.877292895651317)	(110, 2.3727385590566854)	(115, 4.044319818189095)	(120, 6.473754030106418)	(125, 8.578155661048733)	(130, 11.059177388937957)	(135, 13.250704522639584)	(140, 14.66171695501196)
IDDLNTM10.B_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.1750596781999205e-05)	(10, 0.00018270501296879332)	(15, 0.0005350646808371805)	(20, 0.0026231219719091044)	(25, 0.1070912383158513)	(30, 0.9411831237119568)	(35, 2.7039471895510134)	(40, 4.419112249392343)	(45, 7.021079590871276)	(50, 8.96640946585972)	(55, 11.531470394718955)	(60, 13.569797121308515)	(65, 16.18661142015084)	(70, 18.199524749460313)	(75, 20.743448448366802)	(80, 22.72433619897446)	(85, 25.26782488594531)	(90, 27.247351049194414)	(95, 29.743136327302985)	(100, 31.722244879093875)	(105, 34.143351658211124)	(110, 36.10392870154375)	(115, 38.353636427899495)	(120, 40.24424615150378)	(125, 42.316194950598955)	(130, 44.16591790237245)	(135, 46.10421363436159)	(140, 47.28399210453337)
IDDLNTM10.B_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003045083549479889)	(4, 0.00047851312920398255)	(5, 0.0010005274519719635)	(6, 0.0011527816294459579)	(7, 0.0015660429683039428)	(8, 0.0019140525168159302)	(9, 0.0021968102749819196)	(10, 0.007186397176772538)	(15, 0.011749672381635972)	(20, 0.015621278608831831)	(25, 0.01995399748780607)	(30, 0.024069210398960324)	(35, 0.02797561758100738)	(40, 0.04075191813075372)	(45, 0.056199191965329555)	(50, 0.06074071657341098)	(55, 0.06643502281093837)	(60, 0.07482640304943367)	(65, 0.08402255536886294)	(70, 0.09170921627162146)	(75, 0.295055545586532)	(80, 1.0640130938592627)	(85, 2.284908892187729)	(90, 3.9142982985595665)	(95, 5.857013751814816)	(100, 7.997233324089329)	(105, 10.279767051108465)	(110, 12.63262480764316)	(115, 14.932746067220219)	(120, 17.22946118334122)	(125, 19.48493281784419)	(130, 21.688572780215658)	(135, 23.954558653203044)	(140, 25.09514254797366)
IDDLNTM10.B_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001392038194047949)	(15, 0.0004828632485603824)	(20, 0.0025926711364143056)	(25, 0.10928369847147681)	(30, 0.9647216195494364)	(35, 2.777433755838676)	(40, 4.5360434576923705)	(45, 7.188946346715388)	(50, 9.165396975579517)	(55, 11.76323170366987)	(60, 13.808757877794273)	(65, 16.43982316764816)	(70, 18.461606390325336)	(75, 20.994097975563204)	(80, 22.93429035959174)	(85, 25.429523172542048)	(90, 27.38128252393925)	(95, 29.866405659505283)	(100, 31.832141944394596)	(105, 34.229209963948385)	(110, 36.14728199104963)	(115, 38.34937331093022)	(120, 40.1837620919724)	(125, 42.20689820176941)	(130, 44.00007830214842)	(135, 45.86942029221926)	(140, 46.988836506201636)
IDDLNTM10.B_R2 - polyg	(1, 0.2245314105805778)	(2, 0.2275112423397117)	(3, 0.22977330440503962)	(4, 0.23203536647036754)	(5, 0.23738601327873934)	(6, 0.24001783548936123)	(7, 0.24214939397399715)	(8, 0.2435849333616091)	(9, 0.24569474124946303)	(10, 0.2521372680162912)	(15, 0.25897565564455177)	(20, 0.26389129051728355)	(25, 0.2682501101123962)	(30, 0.27185200893949524)	(35, 0.2748100901018472)	(40, 0.27789867484489106)	(45, 0.2808959070814505)	(50, 0.2843020505375116)	(55, 0.2877168942322855)	(60, 0.290583622888153)	(65, 0.2932937472471901)	(70, 0.2958472673093968)	(75, 0.2981528305682887)	(80, 0.30048449454331905)	(85, 0.30279875804092377)	(90, 0.3052000239256565)	(95, 0.30837996117518474)	(100, 0.338639391418302)	(105, 0.9171922154614116)	(110, 2.483887701668815)	(115, 4.261011511503346)	(120, 6.783654426518328)	(125, 9.00764859735839)	(130, 11.579004148926336)	(135, 13.851119340086893)	(140, 15.303980902976026)
IDDLNTM100_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.0729809528291112e-05)	(10, 0.000149254628603696)	(15, 0.0004311800381884551)	(20, 0.0023093007814516298)	(25, 0.07975586917914722)	(30, 0.7113309760775925)	(35, 1.9980095236890936)	(40, 3.2323121345464143)	(45, 5.175114029499762)	(50, 6.6135181990107315)	(55, 8.624069257464441)	(60, 10.196810884642549)	(65, 12.345609042840431)	(70, 14.00421354108472)	(75, 16.25430169459974)	(80, 18.0093868723506)	(85, 20.369873699489485)	(90, 22.18798993609207)	(95, 24.50234049914479)	(100, 26.326530569939166)	(105, 28.60314873368849)	(110, 30.480921216151593)	(115, 32.65579747473606)	(120, 34.55061815255523)	(125, 36.63716469273966)	(130, 38.55875999254556)	(135, 40.581039977230375)	(140, 41.85698877543003)
IDDLNTM100_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002072980952829111)	(4, 0.00029021733339607556)	(5, 0.0008291923811316444)	(6, 0.0010779500954711378)	(7, 0.00130597800028234)	(8, 0.0016169251432067067)	(9, 0.0019486020956593646)	(10, 0.006210650934676017)	(15, 0.010476845735598327)	(20, 0.014237233184030335)	(25, 0.018457822403990402)	(30, 0.022819374328742852)	(35, 0.027437975891646114)	(40, 0.04216443258054412)	(45, 0.06364880717566504)	(50, 0.06846641491003988)	(55, 0.07312647609199971)	(60, 0.07861987561699688)	(65, 0.08530316620891792)	(70, 0.09303123920106485)	(75, 0.3151760240681381)	(80, 1.1146957558409867)	(85, 2.242069863189476)	(90, 3.7229120987667628)	(95, 5.351736152642709)	(100, 7.069926415395118)	(105, 8.864858433021258)	(110, 10.735723742949533)	(115, 12.655917707631327)	(120, 14.605730424167144)	(125, 16.663292544669112)	(130, 18.633022462199712)	(135, 20.809979993660825)	(140, 21.819119559383754)
