Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IDDLNTM10.A_R1	(1, 0.0)	(2, 0.26113240897474166)	(3, 0.2674502732925029)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5103649769191545)	(9, 0.21983296069301225)	(10, 0.0462281003887102)	(15, 0.0)	(20, 0.0)	(25, 0.10602525027806681)	(30, 0.4171262224932842)	(35, 0.19568507815575079)	(40, 0.3376252332629095)	(45, 0.10929546300163528)	(50, 0.05465311604427028)	(55, 0.11343797176453103)	(60, 0.24763515338679706)	(65, 0.0593699761087807)	(70, 0.0)	(75, 0.20024758130795225)	(80, 0.05611412216775258)	(85, 0.057661280986477076)	(90, 0.0)	(95, 0.12109120285854642)	(100, 0.045998359868064324)	(105, 0.27461530578014587)	(110, 0.0)	(115, 0.0593699761087807)	(120, 0.0)	(125, 0.0)	(130, 0.0521510981866114)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM10.A_R2	(1, 0.0)	(2, 0.260755490933057)	(3, 0.29038842840073853)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08328093873412613)	(25, 0.0)	(30, 0.1656608638638443)	(35, 0.04970651545911399)	(40, 0.0)	(45, 0.05468183360935101)	(50, 0.0)	(55, 0.060202785496121965)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13177054737294405)	(80, 0.33321708702301694)	(85, 0.3448764184457946)	(90, 0.2665277215142844)	(95, 0.2196175789549068)	(100, 0.2196175789549068)	(105, 0.27472299664919864)	(110, 0.10476526711014962)	(115, 0.05882793206788186)	(120, 0.11056262556082264)	(125, 0.0)	(130, 0.0)	(135, 0.052470581098134565)	(140, 0.0)	(145, 0.0)	(150, 0.1362020266344647)
IDDLNTM10.B_R1	(1, 0.0)	(2, 0.2804739455038798)	(3, 0.274623034969522)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5305405567065247)	(9, 0.2140693735284362)	(10, 0.04671158164902149)	(15, 0.0)	(20, 0.0)	(25, 0.10854852830024524)	(30, 0.4066535075556136)	(35, 0.19083538604590464)	(40, 0.3426110503906951)	(45, 0.10910969369722082)	(50, 0.05544227119731597)	(55, 0.11868430640065686)	(60, 0.25667009238565985)	(65, 0.061684692473749754)	(70, 0.0)	(75, 0.18928239343566988)	(80, 0.05656460199126714)	(85, 0.05836990152417307)	(90, 0.0)	(95, 0.12455696753179664)	(100, 0.04584590789709793)	(105, 0.2702598652550529)	(110, 0.0)	(115, 0.061684692473749754)	(120, 0.0)	(125, 0.0)	(130, 0.05436779171628522)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM10.B_R2	(1, 0.0)	(2, 0.2718389585814261)	(3, 0.300702000511139)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08695453581507642)	(25, 0.0)	(30, 0.16918049188974624)	(35, 0.05243198860268728)	(40, 0.0)	(45, 0.05512036236494239)	(50, 0.0)	(55, 0.06275917195478051)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.1368591050716954)	(80, 0.34509931866255583)	(85, 0.3527816294459579)	(90, 0.27479703974377795)	(95, 0.2280985084528257)	(100, 0.2280985084528257)	(105, 0.283980141705138)	(110, 0.10948815408122761)	(115, 0.061610740444690955)	(120, 0.11353376508267946)	(125, 0.0)	(130, 0.0)	(135, 0.05387622822901204)	(140, 0.0)	(145, 0.0)	(150, 0.1347231964677031)
IDDLNTM100_R1	(1, 0.0)	(2, 0.2758930350120264)	(3, 0.2740895415830651)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5163173659211466)	(9, 0.1982391685190479)	(10, 0.043715022333260294)	(15, 0.0)	(20, 0.0)	(25, 0.10703629851837833)	(30, 0.39591448621892633)	(35, 0.18823081647878895)	(40, 0.3416023852548035)	(45, 0.10527011874656791)	(50, 0.05394311035451913)	(55, 0.11590451103458126)	(60, 0.25474033736935814)	(65, 0.061476323137100115)	(70, 0.0)	(75, 0.18113292969630207)	(80, 0.05479303254517907)	(85, 0.05777812511725298)	(90, 0.0)	(95, 0.12069309703561651)	(100, 0.046695968943428555)	(105, 0.256597728303093)	(110, 0.0)	(115, 0.061476323137100115)	(120, 0.0)	(125, 0.0)	(130, 0.05456915060227352)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM100_R2	(1, 0.0)	(2, 0.2728457530113676)	(3, 0.29262199130135735)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0881929016571617)	(25, 0.0)	(30, 0.1683467831792521)	(35, 0.04950693111546483)	(40, 0.0)	(45, 0.054461355592726406)	(50, 0.0)	(55, 0.06536938136651319)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13154307934272408)	(80, 0.33608825592027813)	(85, 0.34278398439791613)	(90, 0.2647362515239001)	(95, 0.2192384655712068)	(100, 0.2192384655712068)	(105, 0.27525041091664937)	(110, 0.1079028045566609)	(115, 0.06235526706109966)	(120, 0.11170050566224382)	(125, 0.0)	(130, 0.0)	(135, 0.05225570385891624)	(140, 0.0)	(145, 0.0)	(150, 0.13049415098059255)
IDDLNTM101_R1	(1, 0.0)	(2, 0.2774059105576837)	(3, 0.2713802317700748)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5251940779220355)	(9, 0.21165452066848675)	(10, 0.045578642870069616)	(15, 0.0)	(20, 0.0)	(25, 0.10627254778363278)	(30, 0.4097379871454909)	(35, 0.1925643532281502)	(40, 0.3424546450221561)	(45, 0.10727342324326952)	(50, 0.05465597050808115)	(55, 0.115627669426768)	(60, 0.25459412048988156)	(65, 0.061261748541683606)	(70, 0.0)	(75, 0.1910078897582661)	(80, 0.055285092225567094)	(85, 0.05822235530915409)	(90, 0.0)	(95, 0.12184126768843115)	(100, 0.046465132562890726)	(105, 0.2662778095289063)	(110, 0.0)	(115, 0.061261748541683606)	(120, 0.0)	(125, 0.0)	(130, 0.05340589748502465)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM101_R2	(1, 0.0)	(2, 0.2670294874251233)	(3, 0.2942982371927772)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08623052735515187)	(25, 0.0)	(30, 0.1679346465091711)	(35, 0.05160432165767854)	(40, 0.0)	(45, 0.054692737361700466)	(50, 0.0)	(55, 0.062319816884728145)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13502014210797444)	(80, 0.3401587592739282)	(85, 0.34750804479183217)	(90, 0.2710534152934587)	(95, 0.22503357017995743)	(100, 0.22503357017995743)	(105, 0.280339088435313)	(110, 0.10782084084160146)	(115, 0.06164575790170749)	(120, 0.11224103368783389)	(125, 0.0)	(130, 0.0)	(135, 0.054271961148057254)	(140, 0.0)	(145, 0.0)	(150, 0.13612927552549026)
IDDLNTM102_R1	(1, 0.0)	(2, 0.321081528551195)	(3, 0.3103775931927355)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.58506322445641)	(9, 0.11657425846021881)	(10, 0.03520243041437381)	(15, 0.0)	(20, 0.0)	(25, 0.10940664031233573)	(30, 0.33102559409581156)	(35, 0.1484449519985124)	(40, 0.37212432200798523)	(45, 0.09499103317087462)	(50, 0.061220665097973886)	(55, 0.13492073060021312)	(60, 0.28356295649270397)	(65, 0.0705436831985843)	(70, 0.0)	(75, 0.1370249854693164)	(80, 0.06168097085059023)	(85, 0.0657725775405133)	(90, 0.0)	(95, 0.12630643722982152)	(100, 0.05236525919049753)	(105, 0.22104905142309367)	(110, 0.0)	(115, 0.0705436831985843)	(120, 0.0)	(125, 0.0)	(130, 0.061081842728137214)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM102_R2	(1, 0.0)	(2, 0.3054092136406861)	(3, 0.33598666720734327)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.09960870357807353)	(25, 0.0)	(30, 0.19090998428749967)	(35, 0.05452796558374259)	(40, 0.0)	(45, 0.060226989187563994)	(50, 0.0)	(55, 0.07168348791934859)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13899041796858305)	(80, 0.35046803231346385)	(85, 0.36530010656443496)	(90, 0.2716534584488207)	(95, 0.23165069661430504)	(100, 0.23165069661430504)	(105, 0.28810025605420797)	(110, 0.11853969095948544)	(115, 0.07077748929515133)	(120, 0.1274389355100681)	(125, 0.0)	(130, 0.0)	(135, 0.053417386625049176)	(140, 0.0)	(145, 0.0)	(150, 0.12771658024974145)
