Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IDDLNTM10.A_R1	(1, 38.67939477013653)	(2, 37.583814995702234)	(3, 38.136884427774696)	(4, 38.09514667765592)	(5, 38.406663336625684)	(6, 38.658552279340064)	(7, 38.83754527279264)	(8, 38.69686617776209)	(9, 38.710511687779764)	(10, 38.918149447285586)	(15, 39.05788423698237)	(20, 39.07542621802411)	(25, 38.99194956908396)	(30, 38.83259055949535)	(35, 38.84812317250839)	(40, 38.73483718845705)	(45, 38.76549239944769)	(50, 38.70013179567524)	(55, 38.61251637125565)	(60, 38.50845841777344)	(65, 38.541972534161786)	(70, 38.48021706171566)	(75, 38.30160558111519)	(80, 38.14074672489632)	(85, 37.99474813169803)	(90, 37.57368035160351)	(95, 37.26706743225303)	(100, 36.92846687868606)	(105, 36.591196809909285)	(110, 36.315487005929995)	(115, 36.04830086244233)	(120, 35.797051244520546)	(125, 35.75589782505726)	(130, 35.537817066597654)	(135, 35.502620244483396)	(140, 35.332224715664694)	(145, 35.30781033412349)	(150, 34.782428727041875)
IDDLNTM10.A_R2	(1, 38.81680616523046)	(2, 37.994198692884126)	(3, 38.185635366255745)	(4, 37.87852577661719)	(5, 38.13040682200117)	(6, 38.59497661582521)	(7, 38.4152972725672)	(8, 38.40656785072179)	(9, 38.252406217855395)	(10, 38.43420089695725)	(15, 38.43912509784164)	(20, 38.370497583865614)	(25, 38.402425054783244)	(30, 38.303808146562965)	(35, 38.27018447266384)	(40, 38.21332979628657)	(45, 38.134639719300154)	(50, 38.08056504681052)	(55, 38.00724917495333)	(60, 37.942181562138614)	(65, 37.90679305027745)	(70, 37.82697889599988)	(75, 37.74684353575687)	(80, 37.60213385867333)	(85, 37.533441730175866)	(90, 37.47802286025871)	(95, 37.37260857617774)	(100, 37.22689349714072)	(105, 36.88022201549565)	(110, 36.6881674119174)	(115, 36.50990075747963)	(120, 36.3426358740182)	(125, 36.35155411385402)	(130, 36.18379385239494)	(135, 36.039624280916655)	(140, 35.83625373620008)	(145, 35.744816291043904)	(150, 34.900123180405714)
IDDLNTM10.B_R1	(1, 38.57799296368194)	(2, 37.628109166245245)	(3, 38.22203748715356)	(4, 38.244192645035696)	(5, 38.57341576809514)	(6, 38.81980391837001)	(7, 38.99397312713768)	(8, 38.82828578109112)	(9, 38.838639935183224)	(10, 39.06451309657808)	(15, 39.185883514678935)	(20, 39.20189143189616)	(25, 39.12970407225548)	(30, 38.98087309070543)	(35, 39.000136289239435)	(40, 38.892150666383905)	(45, 38.921826919626106)	(50, 38.84957291615689)	(55, 38.7572936602448)	(60, 38.65756908805186)	(65, 38.70201886864271)	(70, 38.61407076556664)	(75, 38.397594906010234)	(80, 38.09618705513232)	(85, 37.755289864765665)	(90, 37.16924804924335)	(95, 36.69240527886984)	(100, 36.15410741532221)	(105, 35.64981286874058)	(110, 35.21514293948441)	(115, 34.778304301724276)	(120, 34.43925756512944)	(125, 34.2673234476871)	(130, 34.06754317221579)	(135, 34.01466590539578)	(140, 33.92927184439623)	(145, 33.90753012185772)	(150, 33.37355192683099)
IDDLNTM10.B_R2	(1, 38.91345067780297)	(2, 38.07608402255537)	(3, 38.24607407165734)	(4, 37.9468245759993)	(5, 38.227705692674945)	(6, 38.66371902579077)	(7, 38.504280191187746)	(8, 38.49536853667423)	(9, 38.33088704371326)	(10, 38.520987259587926)	(15, 38.5258830579164)	(20, 38.45818119334649)	(25, 38.4950720325389)	(30, 38.39863780362474)	(35, 38.371748323844635)	(40, 38.32747950821901)	(45, 38.25518095952758)	(50, 38.20846076464223)	(55, 38.135935835739495)	(60, 38.077079329864105)	(65, 38.03558406333774)	(70, 37.95468071755219)	(75, 37.864851013849695)	(80, 37.73824096398645)	(85, 37.66453236760684)	(90, 37.63111205363697)	(95, 37.527634459470484)	(100, 37.4066285813717)	(105, 37.063050238440916)	(110, 36.88643939468089)	(115, 36.72025422097519)	(120, 36.56550133494288)	(125, 36.58893481889909)	(130, 36.43702203879219)	(135, 36.3096776017792)	(140, 36.12866191416126)	(145, 36.05493991941404)	(150, 35.282078487028485)
IDDLNTM100_R1	(1, 38.71209839362633)	(2, 37.65107750440457)	(3, 38.21789724689473)	(4, 38.16137534823489)	(5, 38.44836131892169)	(6, 38.71168877259005)	(7, 38.896975126923444)	(8, 38.73321336301566)	(9, 38.78157683783754)	(10, 38.96155893142807)	(15, 39.085390521626266)	(20, 39.1023761958768)	(25, 39.02158541168676)	(30, 38.874408656270944)	(35, 38.89505463444951)	(40, 38.77440656256018)	(45, 38.772651742723994)	(50, 38.70759430353126)	(55, 38.56928692150098)	(60, 38.492983394800675)	(65, 38.497909046302304)	(70, 38.46246488629389)	(75, 38.26807192663472)	(80, 38.13530338387192)	(85, 37.908574491844995)	(90, 37.53896414385576)	(95, 37.17618012214418)	(100, 36.85174450675594)	(105, 36.44991107948203)	(110, 36.16843285334841)	(115, 35.81785446056786)	(120, 35.570221794451086)	(125, 35.45471297402078)	(130, 35.239283818248495)	(135, 35.148615611495174)	(140, 34.96479178668363)	(145, 34.88105828165219)	(150, 34.26753436121403)
IDDLNTM100_R2	(1, 38.7888384901153)	(2, 37.912117630889576)	(3, 38.140337908333194)	(4, 37.85929227186482)	(5, 38.085938742169056)	(6, 38.53628224547784)	(7, 38.39426646636143)	(8, 38.384049157841126)	(9, 38.23413034614014)	(10, 38.42200875585695)	(15, 38.436157762971625)	(20, 38.36790461634201)	(25, 38.40683022348186)	(30, 38.30724529645804)	(35, 38.283835537153934)	(40, 38.23642339475092)	(45, 38.165401243083764)	(50, 38.11520359471482)	(55, 38.039817818141934)	(60, 37.978822343666664)	(65, 37.941262582217014)	(70, 37.856264558804355)	(75, 37.685978294645636)	(80, 37.35513948985183)	(85, 37.121651767807066)	(90, 36.746602829909214)	(95, 36.40379048713187)	(100, 35.894625071336456)	(105, 35.40744171140333)	(110, 34.93501880504672)	(115, 34.565028023593015)	(120, 34.1296147924604)	(125, 33.92468288055629)	(130, 33.53478335587009)	(135, 33.2581946284503)	(140, 32.89626890377243)	(145, 32.70015727706489)	(150, 31.67975843967553)
IDDLNTM101_R1	(1, 38.690068088127695)	(2, 37.60570041468926)	(3, 38.1816364272913)	(4, 38.178817635180486)	(5, 38.502467260138154)	(6, 38.7540514008784)	(7, 38.92242970075458)	(8, 38.763184287317436)	(9, 38.77955615871352)	(10, 39.006420799907836)	(15, 39.134421169210455)	(20, 39.16760725810372)	(25, 39.10406955961888)	(30, 38.96653554517278)	(35, 39.00686118511008)	(40, 38.9187250725839)	(45, 38.97030316721932)	(50, 38.9285232756652)	(55, 38.85971590660729)	(60, 38.77961751850701)	(65, 38.83826334626573)	(70, 38.787266576438086)	(75, 38.611504021681)	(80, 38.39460760983995)	(85, 38.15627906368714)	(90, 37.72192395225702)	(95, 37.37889647965547)	(100, 36.988319824238104)	(105, 36.603534847011076)	(110, 36.27551821858875)	(115, 35.92960683569343)	(120, 35.6693865695586)	(125, 35.54689248595812)	(130, 35.36276939380038)	(135, 35.288023442545864)	(140, 35.163715854316656)	(145, 35.07508142836775)	(150, 34.60501941085611)
IDDLNTM101_R2	(1, 38.76538866445221)	(2, 37.89183232517259)	(3, 38.11318389922287)	(4, 37.81401119428136)	(5, 38.05505632069194)	(6, 38.53236443141899)	(7, 38.3869923774142)	(8, 38.38212853120096)	(9, 38.257243785074046)	(10, 38.413101582322824)	(15, 38.4396299293627)	(20, 38.398116393237025)	(25, 38.448748272468535)	(30, 38.36527820048311)	(35, 38.34705033831633)	(40, 38.31043447390922)	(45, 38.24968974903354)	(50, 38.2148743165961)	(55, 38.151129171352736)	(60, 38.096835722021346)	(65, 38.07063942052171)	(70, 38.00277924731715)	(75, 37.933496033469275)	(80, 37.81010835191761)	(85, 37.75713867272476)	(90, 37.73552523697259)	(95, 37.667469218994405)	(100, 37.568989610095684)	(105, 37.28919777585047)	(110, 37.16345726077953)	(115, 37.01943536734376)	(120, 36.89320797742678)	(125, 36.91711909641781)	(130, 36.768233765289395)	(135, 36.64202647458573)	(140, 36.44995438867548)	(145, 36.376197302375104)	(150, 35.58164120698227)
IDDLNTM102_R1	(1, 38.70377900063237)	(2, 37.92441341155609)	(3, 38.39376234560121)	(4, 38.37430091063821)	(5, 38.69719882030211)	(6, 38.86996837407222)	(7, 39.07945425273197)	(8, 38.884972149675356)	(9, 38.96216323245696)	(10, 39.09680324961248)	(15, 39.22054220364438)	(20, 39.242570537290064)	(25, 39.17349164928647)	(30, 39.06035404818817)	(35, 39.074675402246946)	(40, 38.94711605659715)	(45, 39.00508330986139)	(50, 38.9572623644153)	(55, 38.868246099913385)	(60, 38.77473652062188)	(65, 38.82725945279875)	(70, 38.77772806962746)	(75, 38.60744445917909)	(80, 38.35403810527923)	(85, 38.0870572616703)	(90, 37.647402140275624)	(95, 37.27151222495361)	(100, 36.87081592117227)	(105, 36.49348079191586)	(110, 36.14445242064201)	(115, 35.798709463411356)	(120, 35.54513842234222)	(125, 35.452138832598855)	(130, 35.292475571829435)	(135, 35.26538767425404)	(140, 35.14191876626368)	(145, 35.06840223854725)	(150, 34.53116507404529)
IDDLNTM102_R2	(1, 39.03517576190649)	(2, 38.300874106011335)	(3, 38.455097721815314)	(4, 38.20843886573356)	(5, 38.41364317024993)	(6, 38.82722861961977)	(7, 38.67671009980232)	(8, 38.68171647284507)	(9, 38.54584152111324)	(10, 38.701694034766234)	(15, 38.709643149791894)	(20, 38.645596791888096)	(25, 38.68975180386883)	(30, 38.586804495360596)	(35, 38.574302298861916)	(40, 38.53672922075716)	(45, 38.466691873886454)	(50, 38.43229914321025)	(55, 38.35696258116085)	(60, 38.31480602679053)	(65, 38.275014567215784)	(70, 38.18647073715774)	(75, 38.09595051493966)	(80, 37.95984818677893)	(85, 37.88557062021816)	(90, 37.862121476149404)	(95, 37.766665314975164)	(100, 37.656097535135764)	(105, 37.3525403580375)	(110, 37.234306806935706)	(115, 37.07430525797032)	(120, 36.955852513653)	(125, 36.96248237777877)	(130, 36.831906056710395)	(135, 36.684202123909195)	(140, 36.52226115337278)	(145, 36.42067883408206)	(150, 35.654371023241424)
