Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM10.A_R1	(15.0, 2.0)	(16.0, 93.0)	(17.0, 529.0)	(18.0, 1782.0)	(19.0, 4094.0)	(20.0, 7464.0)	(21.0, 10983.0)	(22.0, 14512.0)	(23.0, 17296.0)	(24.0, 21487.0)	(25.0, 25104.0)	(26.0, 29923.0)	(27.0, 34558.0)	(28.0, 41829.0)	(29.0, 49356.0)	(30.0, 59779.0)	(31.0, 70763.0)	(32.0, 91638.0)	(33.0, 121877.0)	(34.0, 172416.0)	(35.0, 247888.0)	(36.0, 408103.0)	(37.0, 615758.0)	(38.0, 787625.0)	(39.0, 2490286.0)	(40.0, 246358.0)					
IDDLNTM10.A_R2	(12.0, 2.0)	(13.0, 21.0)	(14.0, 43.0)	(15.0, 515.0)	(16.0, 3677.0)	(17.0, 9565.0)	(18.0, 13905.0)	(19.0, 14976.0)	(20.0, 16802.0)	(21.0, 18445.0)	(22.0, 20848.0)	(23.0, 23108.0)	(24.0, 26798.0)	(25.0, 30846.0)	(26.0, 35385.0)	(27.0, 39637.0)	(28.0, 47662.0)	(29.0, 56381.0)	(30.0, 65350.0)	(31.0, 71040.0)	(32.0, 87020.0)	(33.0, 107294.0)	(34.0, 135475.0)	(35.0, 173871.0)	(36.0, 251328.0)	(37.0, 416700.0)	(38.0, 1134235.0)	(39.0, 2690170.0)	(40.0, 80404.0)		
IDDLNTM10.B_R1	(15.0, 1.0)	(16.0, 54.0)	(17.0, 321.0)	(18.0, 1088.0)	(19.0, 2661.0)	(20.0, 5172.0)	(21.0, 7882.0)	(22.0, 10415.0)	(23.0, 12207.0)	(24.0, 15631.0)	(25.0, 18836.0)	(26.0, 23207.0)	(27.0, 27934.0)	(28.0, 35448.0)	(29.0, 44914.0)	(30.0, 61123.0)	(31.0, 88903.0)	(32.0, 151854.0)	(33.0, 232161.0)	(34.0, 298722.0)	(35.0, 300811.0)	(36.0, 289048.0)	(37.0, 273973.0)	(38.0, 465083.0)	(39.0, 2025236.0)	(40.0, 204890.0)					
IDDLNTM10.B_R2	(12.0, 8.0)	(13.0, 16.0)	(14.0, 45.0)	(15.0, 406.0)	(16.0, 2753.0)	(17.0, 7143.0)	(18.0, 10541.0)	(19.0, 11495.0)	(20.0, 12712.0)	(21.0, 14067.0)	(22.0, 15455.0)	(23.0, 17152.0)	(24.0, 20120.0)	(25.0, 22505.0)	(26.0, 26397.0)	(27.0, 29381.0)	(28.0, 35368.0)	(29.0, 42236.0)	(30.0, 49171.0)	(31.0, 53298.0)	(32.0, 65589.0)	(33.0, 80934.0)	(34.0, 103294.0)	(35.0, 133038.0)	(36.0, 194347.0)	(37.0, 328163.0)	(38.0, 936675.0)	(39.0, 2316379.0)	(40.0, 68887.0)		
IDDLNTM100_R1	(15.0, 4.0)	(16.0, 74.0)	(17.0, 431.0)	(18.0, 1359.0)	(19.0, 3265.0)	(20.0, 6242.0)	(21.0, 9387.0)	(22.0, 12238.0)	(23.0, 14700.0)	(24.0, 18215.0)	(25.0, 21846.0)	(26.0, 26286.0)	(27.0, 30606.0)	(28.0, 37150.0)	(29.0, 44605.0)	(30.0, 54994.0)	(31.0, 68115.0)	(32.0, 94500.0)	(33.0, 134525.0)	(34.0, 197428.0)	(35.0, 265897.0)	(36.0, 358182.0)	(37.0, 398083.0)	(38.0, 563245.0)	(39.0, 2240702.0)	(40.0, 221892.0)					
IDDLNTM100_R2	(12.0, 6.0)	(13.0, 16.0)	(14.0, 49.0)	(15.0, 397.0)	(16.0, 2978.0)	(17.0, 8046.0)	(18.0, 11731.0)	(19.0, 12747.0)	(20.0, 14235.0)	(21.0, 15885.0)	(22.0, 18417.0)	(23.0, 20822.0)	(24.0, 24845.0)	(25.0, 29775.0)	(26.0, 35077.0)	(27.0, 41391.0)	(28.0, 51154.0)	(29.0, 64297.0)	(30.0, 83762.0)	(31.0, 113361.0)	(32.0, 185197.0)	(33.0, 267195.0)	(34.0, 290080.0)	(35.0, 261416.0)	(36.0, 282123.0)	(37.0, 365791.0)	(38.0, 695194.0)	(39.0, 1864738.0)	(40.0, 63246.0)		
IDDLNTM101_R1	(15.0, 5.0)	(16.0, 65.0)	(17.0, 346.0)	(18.0, 1006.0)	(19.0, 2150.0)	(20.0, 3918.0)	(21.0, 5854.0)	(22.0, 7691.0)	(23.0, 9746.0)	(24.0, 12459.0)	(25.0, 15443.0)	(26.0, 19005.0)	(27.0, 23045.0)	(28.0, 29654.0)	(29.0, 37585.0)	(30.0, 49202.0)	(31.0, 68001.0)	(32.0, 109146.0)	(33.0, 171944.0)	(34.0, 246814.0)	(35.0, 288500.0)	(36.0, 309776.0)	(37.0, 301383.0)	(38.0, 510600.0)	(39.0, 2408528.0)	(40.0, 263848.0)					
IDDLNTM101_R2	(12.0, 3.0)	(13.0, 17.0)	(14.0, 52.0)	(15.0, 424.0)	(16.0, 2758.0)	(17.0, 6976.0)	(18.0, 9967.0)	(19.0, 10549.0)	(20.0, 11982.0)	(21.0, 13118.0)	(22.0, 14759.0)	(23.0, 16178.0)	(24.0, 19263.0)	(25.0, 22528.0)	(26.0, 26295.0)	(27.0, 30057.0)	(28.0, 36194.0)	(29.0, 43563.0)	(30.0, 50507.0)	(31.0, 55038.0)	(32.0, 68233.0)	(33.0, 84671.0)	(34.0, 108278.0)	(35.0, 140196.0)	(36.0, 205154.0)	(37.0, 339049.0)	(38.0, 931373.0)	(39.0, 2569321.0)	(40.0, 79211.0)		
IDDLNTM102_R1	(15.0, 1.0)	(16.0, 31.0)	(17.0, 183.0)	(18.0, 521.0)	(19.0, 1276.0)	(20.0, 2369.0)	(21.0, 3763.0)	(22.0, 4923.0)	(23.0, 6036.0)	(24.0, 7359.0)	(25.0, 9165.0)	(26.0, 11197.0)	(27.0, 13547.0)	(28.0, 17410.0)	(29.0, 21811.0)	(30.0, 28889.0)	(31.0, 40760.0)	(32.0, 67397.0)	(33.0, 103641.0)	(34.0, 136911.0)	(35.0, 148709.0)	(36.0, 153581.0)	(37.0, 152568.0)	(38.0, 274070.0)	(39.0, 1372885.0)	(40.0, 158308.0)					
IDDLNTM102_R2	(12.0, 1.0)	(13.0, 5.0)	(14.0, 14.0)	(15.0, 177.0)	(16.0, 1292.0)	(17.0, 3296.0)	(18.0, 4755.0)	(19.0, 5175.0)	(20.0, 6049.0)	(21.0, 6479.0)	(22.0, 7411.0)	(23.0, 8078.0)	(24.0, 9565.0)	(25.0, 10788.0)	(26.0, 13006.0)	(27.0, 14857.0)	(28.0, 17555.0)	(29.0, 21964.0)	(30.0, 25680.0)	(31.0, 27637.0)	(32.0, 34443.0)	(33.0, 42880.0)	(34.0, 55651.0)	(35.0, 72894.0)	(36.0, 108616.0)	(37.0, 185929.0)	(38.0, 532888.0)	(39.0, 1468766.0)	(40.0, 51460.0)		
