Sample	Unique Reads	Duplicate Reads
IDDLNTM10.A_R1	2991872.0	2579631.0
IDDLNTM10.A_R2	3094994.0	2476509.0
IDDLNTM10.B_R1	2642987.0	1954588.0
IDDLNTM10.B_R2	2699201.0	1898374.0
IDDLNTM100_R1	2667818.0	2156153.0
IDDLNTM100_R2	2736560.0	2087411.0
IDDLNTM101_R1	2742662.0	2153052.0
IDDLNTM101_R2	2825132.0	2070582.0
IDDLNTM102_R1	1854023.0	883288.0
IDDLNTM102_R2	1870480.0	866831.0
IDDLNTM105_R1	2378208.0	1541617.0
IDDLNTM105_R2	2396266.0	1523559.0
IDDLNTM107_R1	2775231.0	2340077.0
IDDLNTM107_R2	2851717.0	2263591.0
IDDLNTM108.A_R1	2834207.0	2238110.0
IDDLNTM108.A_R2	2772428.0	2299889.0
IDDLNTM108.B_R1	2450514.0	1599634.0
IDDLNTM108.B_R2	2461491.0	1588657.0
IDDLNTM109_R1	2329901.0	1627641.0
IDDLNTM109_R2	2365459.0	1592083.0
IDDLNTM111_R1	3224806.0	1950883.0
IDDLNTM111_R2	3272359.0	1903330.0
IDDLNTM112_R1	2737861.0	2217113.0
IDDLNTM112_R2	2789629.0	2165345.0
IDDLNTM113_R1	1501627.0	678737.0
IDDLNTM113_R2	1529124.0	651240.0
IDDLNTM116_R1	2623895.0	1640213.0
IDDLNTM116_R2	2664386.0	1599722.0
IDDLNTM117_R1	2711249.0	1143744.0
IDDLNTM117_R2	2722906.0	1132087.0
IDDLNTM12.A_R1	2822458.0	2181318.0
IDDLNTM12.A_R2	2877116.0	2126660.0
IDDLNTM12.B_R1	2700776.0	1908184.0
IDDLNTM12.B_R2	2758270.0	1850690.0
IDDLNTM120_R1	4513978.0	5680115.0
IDDLNTM120_R2	4668378.0	5525715.0
IDDLNTM121_R1	3381058.0	4231200.0
IDDLNTM121_R2	3582179.0	4030079.0
IDDLNTM124_R1	3552063.0	2744055.0
IDDLNTM124_R2	3667029.0	2629089.0
IDDLNTM126_R1	2294144.0	1078300.0
IDDLNTM126_R2	2277234.0	1095210.0
IDDLNTM127_R1	2743595.0	1793807.0
IDDLNTM127_R2	2780219.0	1757183.0
IDDLNTM128_R1	2559903.0	1912339.0
IDDLNTM128_R2	2624322.0	1847920.0
IDDLNTM129_R1	2639237.0	2274205.0
IDDLNTM129_R2	2742274.0	2171168.0
IDDLNTM13.A_R1	2477273.0	1830656.0
IDDLNTM13.A_R2	2533087.0	1774842.0
IDDLNTM13.B_R1	2409404.0	1748951.0
IDDLNTM13.B_R2	2452159.0	1706196.0
IDDLNTM131_R1	2645582.0	2269516.0
IDDLNTM131_R2	2706542.0	2208556.0
IDDLNTM132_R1	2915810.0	2597928.0
IDDLNTM132_R2	3069652.0	2444086.0
IDDLNTM135_R1	2579759.0	2034107.0
IDDLNTM135_R2	2615179.0	1998687.0
IDDLNTM136_R1	2360824.0	1735906.0
IDDLNTM136_R2	2383365.0	1713365.0
IDDLNTM137_R1	2865969.0	2783165.0
IDDLNTM137_R2	2998735.0	2650399.0
IDDLNTM139_R1	2016310.0	1184521.0
IDDLNTM139_R2	2046926.0	1153905.0
IDDLNTM14.A_R1	2447710.0	1658634.0
IDDLNTM14.A_R2	2503901.0	1602443.0
IDDLNTM14.B_R1	2924218.0	2549939.0
IDDLNTM14.B_R2	3009971.0	2464186.0
IDDLNTM140_R1	2309145.0	1622335.0
IDDLNTM140_R2	2354347.0	1577133.0
IDDLNTM141_R1	2654347.0	2273634.0
IDDLNTM141_R2	2719615.0	2208366.0
IDDLNTM143_R1	2850881.0	2700462.0
IDDLNTM143_R2	2899098.0	2652245.0
IDDLNTM144_R1	2731533.0	2397779.0
IDDLNTM144_R2	2776511.0	2352801.0
IDDLNTM145_R1	2827383.0	1920636.0
IDDLNTM145_R2	2856302.0	1891717.0
IDDLNTM146_R1	2539613.0	2116594.0
IDDLNTM146_R2	2619670.0	2036537.0
IDDLNTM147_R1	2944995.0	2139486.0
IDDLNTM147_R2	2941263.0	2143218.0
IDDLNTM148_R1	2098735.0	1373467.0
IDDLNTM148_R2	2140262.0	1331940.0
IDDLNTM149_R1	1985233.0	1308340.0
IDDLNTM149_R2	2021545.0	1272028.0
IDDLNTM15.A_R1	2540534.0	1848076.0
IDDLNTM15.A_R2	2594494.0	1794116.0
IDDLNTM15.B_R1	3001726.0	2712495.0
IDDLNTM15.B_R2	3152172.0	2562049.0
IDDLNTM152_R1	2275273.0	1400705.0
IDDLNTM152_R2	2313437.0	1362541.0
IDDLNTM18.A_R1	2235591.0	1463642.0
IDDLNTM18.A_R2	2275735.0	1423498.0
IDDLNTM18.B_R1	2974787.0	2765293.0
IDDLNTM18.B_R2	3063295.0	2676785.0
IDDLNTM19.A_R1	3225751.0	2769715.0
IDDLNTM19.A_R2	3344358.0	2651108.0
IDDLNTM19.B_R1	3185199.0	3000415.0
IDDLNTM19.B_R2	3315825.0	2869789.0
IDDLNTM19.C_R1	2758124.0	2144360.0
IDDLNTM19.C_R2	2815264.0	2087220.0
IDDLNTM1_R1	2002731.0	1132401.0
IDDLNTM1_R2	2000370.0	1134762.0
IDDLNTM2.A_R1	1554161.0	619404.0
IDDLNTM2.A_R2	1554463.0	619102.0
IDDLNTM2.B_R1	1778471.0	767217.0
IDDLNTM2.B_R2	1780570.0	765118.0
IDDLNTM2.C_R1	2463892.0	1220348.0
IDDLNTM2.C_R2	2486240.0	1198000.0
IDDLNTM20_R1	3247766.0	3031427.0
IDDLNTM20_R2	3370715.0	2908478.0
IDDLNTM21.A_R1	3157485.0	2618630.0
IDDLNTM21.A_R2	3255735.0	2520380.0
IDDLNTM21.B_R1	2659394.0	1980457.0
IDDLNTM21.B_R2	2718577.0	1921274.0
IDDLNTM22.A_R1	2807714.0	2339674.0
IDDLNTM22.A_R2	2858565.0	2288823.0
IDDLNTM22.B_R1	2739265.0	2137265.0
IDDLNTM22.B_R2	2788772.0	2087758.0
IDDLNTM32_R1	2893138.0	2275442.0
IDDLNTM32_R2	2982594.0	2185986.0
IDDLNTM33.A_R1	2656070.0	1917120.0
IDDLNTM33.A_R2	2705407.0	1867783.0
IDDLNTM33.B_R1	2767766.0	2112053.0
IDDLNTM33.B_R2	2826096.0	2053723.0
IDDLNTM33.C_R1	3024022.0	2911615.0
IDDLNTM33.C_R2	3141790.0	2793847.0
IDDLNTM35_R1	2580019.0	1456004.0
IDDLNTM35_R2	2630281.0	1405742.0
IDDLNTM37_R1	2807125.0	2013467.0
IDDLNTM37_R2	2833439.0	1987153.0
IDDLNTM38_R1	2953341.0	2296160.0
IDDLNTM38_R2	3028162.0	2221339.0
IDDLNTM39_R1	2146402.0	1224579.0
IDDLNTM39_R2	2184110.0	1186871.0
IDDLNTM4.A_R1	2577351.0	1733893.0
IDDLNTM4.A_R2	2606480.0	1704764.0
IDDLNTM4.B_R1	1477416.0	546203.0
IDDLNTM4.B_R2	1476872.0	546747.0
IDDLNTM4.C_R1	2393745.0	1710408.0
IDDLNTM4.C_R2	2458139.0	1646014.0
IDDLNTM40_R1	2666771.0	1450219.0
