Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM10.A_R1	(1.0, 35.3828389017335)	(2.0, 17.178290577569)	(3.0, 12.084001033762352)	(4.0, 8.62737876804983)	(5.0, 6.306426319124359)	(6.0, 4.598791965671836)	(7.0, 3.451091430071079)	(8.0, 2.501378759969114)	(9.0, 1.8381359455816502)	('>10', 6.631981268478349)	('>50', 0.6004670311398251)	('>100', 0.7779225862458554)	('>500', 0.021295412603322777)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM10.A_R2	(1.0, 38.20307825456504)	(2.0, 16.24558943676246)	(3.0, 11.337137496900764)	(4.0, 8.094812096592928)	(5.0, 6.081918976626432)	(6.0, 4.420182545348432)	(7.0, 3.302465437302826)	(8.0, 2.3873248100406386)	(9.0, 1.8289425317506565)	('>10', 6.560309694105153)	('>50', 0.5786067784908226)	('>100', 0.7743155330924585)	('>500', 0.01041392843194768)	('>1k', 0.0)	('>5k', 0.1749024799895665)	('>10k+', 0.0)
IDDLNTM10.B_R1	(1.0, 39.20553582792282)	(2.0, 18.225579454955522)	(3.0, 12.248220414946314)	(4.0, 8.43656705005318)	(5.0, 5.779817210678089)	(6.0, 3.973591349562114)	(7.0, 2.82990423688523)	(8.0, 1.9498286203082953)	(9.0, 1.3971137227513175)	('>10', 4.684508495210384)	('>50', 0.6538749150747099)	('>100', 0.6017406439792504)	('>500', 0.01371805767277521)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM10.B_R2	(1.0, 41.26666779676526)	(2.0, 17.27469457703661)	(3.0, 11.6668221925847)	(4.0, 7.866825366131075)	(5.0, 5.612547760427993)	(6.0, 4.026750050395714)	(7.0, 2.8354147957018943)	(8.0, 1.9167562550948356)	(9.0, 1.3845359858351114)	('>10', 4.727703938188639)	('>50', 0.627488774098998)	('>100', 0.6144630448936571)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17932946284562987)	('>10k+', 0.0)
IDDLNTM100_R1	(1.0, 36.94966263154652)	(2.0, 17.62553412404998)	(3.0, 12.149330842363138)	(4.0, 8.643407124557852)	(5.0, 6.18461476295886)	(6.0, 4.457877754405561)	(7.0, 3.1518317496717763)	(8.0, 2.2487502743006775)	(9.0, 1.663223963995362)	('>10', 5.720587924509223)	('>50', 0.6306092340513645)	('>100', 0.5597007014553502)	('>500', 0.014868912134363015)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM100_R2	(1.0, 39.124382240504204)	(2.0, 16.982977218784093)	(3.0, 11.540555261105514)	(4.0, 8.22348304513442)	(5.0, 5.892367335173545)	(6.0, 4.183316418220097)	(7.0, 2.9837730509193965)	(8.0, 2.2517847494400645)	(9.0, 1.6246717913451825)	('>10', 5.872413114133655)	('>50', 0.5596048116224654)	('>100', 0.5863825828174214)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1742883807998713)	('>10k+', 0.0)
IDDLNTM101_R1	(1.0, 37.166679762292745)	(2.0, 18.115818639238874)	(3.0, 12.660126313755054)	(4.0, 8.771306860989075)	(5.0, 6.336506556615988)	(6.0, 4.598938282249068)	(7.0, 3.219851323267866)	(8.0, 2.3903794388654984)	(9.0, 1.7129296281217226)	('>10', 5.008436152612994)	('>50', 0.004085500339793599)	('>100', 0.0032235394622800026)	('>500', 0.01171800218901293)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM101_R2	(1.0, 39.743544014803774)	(2.0, 17.275069547636342)	(3.0, 11.912452519232708)	(4.0, 8.401668656197964)	(5.0, 5.9884559483701905)	(6.0, 4.4133788756677514)	(7.0, 3.179207336339144)	(8.0, 2.268119994460231)	(9.0, 1.615540710451693)	('>10', 5.015291012031431)	('>50', 0.006556889689925224)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.180714495118841)	('>10k+', 0.0)
IDDLNTM102_R1	(1.0, 50.097188144314195)	(2.0, 20.95368548886632)	(3.0, 11.538167912880134)	(4.0, 6.537779699838783)	(5.0, 3.9391046811430375)	(6.0, 2.347920695806312)	(7.0, 1.4063892839270344)	(8.0, 0.8627073797466805)	(9.0, 0.564639808024244)	('>10', 1.7056368774394937)	('>50', 0.028369483636667848)	('>100', 0.01841054437709527)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM102_R2	(1.0, 51.25543380018386)	(2.0, 20.09599439803936)	(3.0, 11.200804221844045)	(4.0, 6.592701511921789)	(5.0, 3.821840719390783)	(6.0, 2.274952370537075)	(7.0, 1.3788145687537543)	(8.0, 0.9252341113469179)	(9.0, 0.5844528314436083)	('>10', 1.7003596868048632)	('>50', 0.02728039046520603)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.14213138926878335)	('>5k', 0.0)	('>10k+', 0.0)
