Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IDDLNTM10.A_R1	IDDLNTM10.A_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5571503.0	841.2 Mbp	0.0	151.0	67.0	53.69953740699509	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM10.A_R2	IDDLNTM10.A_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5571503.0	841.2 Mbp	0.0	151.0	65.0	55.550416450945846	151.0	151	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	fail
IDDLNTM10.B_R1	IDDLNTM10.B_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4597575.0	694.2 Mbp	0.0	151.0	68.0	57.486525672207634	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM10.B_R2	IDDLNTM10.B_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4597575.0	694.2 Mbp	0.0	151.0	65.0	58.709219055107866	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM100_R1	IDDLNTM100_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4823971.0	728.4 Mbp	0.0	151.0	67.0	55.30334474775264	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM100_R2	IDDLNTM100_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4823971.0	728.4 Mbp	0.0	151.0	65.0	56.72836383986184	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM101_R1	IDDLNTM101_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4895714.0	739.2 Mbp	0.0	151.0	64.0	56.021683566321975	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM101_R2	IDDLNTM101_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4895714.0	739.2 Mbp	0.0	151.0	62.0	57.706211715968415	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM102_R1	IDDLNTM102_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2737311.0	413.3 Mbp	0.0	151.0	66.0	67.73151941477032	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM102_R2	IDDLNTM102_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2737311.0	413.3 Mbp	0.0	151.0	65.0	68.33272478161949	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM105_R1	IDDLNTM105_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3919825.0	591.8 Mbp	0.0	151.0	63.0	60.67127937596584	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM105_R2	IDDLNTM105_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3919825.0	591.8 Mbp	0.0	151.0	61.0	61.13195393110704	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM107_R1	IDDLNTM107_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5115308.0	772.4 Mbp	0.0	151.0	67.0	54.25343343436085	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM107_R2	IDDLNTM107_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5115308.0	772.4 Mbp	0.0	151.0	66.0	55.74868587540026	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM108.A_R1	IDDLNTM108.A_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5072317.0	765.9 Mbp	0.0	151.0	64.0	55.87597875543195	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM108.A_R2	IDDLNTM108.A_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5072317.0	765.9 Mbp	0.0	151.0	62.0	54.6580150783067	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM108.B_R1	IDDLNTM108.B_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4050148.0	611.5 Mbp	0.0	151.0	64.0	60.50429768622855	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
IDDLNTM108.B_R2	IDDLNTM108.B_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4050148.0	611.5 Mbp	0.0	151.0	62.0	60.7753159381145	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
IDDLNTM109_R1	IDDLNTM109_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3957542.0	597.5 Mbp	0.0	151.0	67.0	58.872406221603256	151.0	151	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
