Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
IDDLNTM10.A_R1	46.30046259300491	67.0	151.0	151	27.27272727272727	5.571503
IDDLNTM10.A_R2	44.449583549054154	65.0	151.0	151	27.27272727272727	5.571503
IDDLNTM10.B_R1	42.513474327792366	68.0	151.0	151	27.27272727272727	4.597575
IDDLNTM10.B_R2	41.290780944892134	65.0	151.0	151	27.27272727272727	4.597575
IDDLNTM100_R1	44.69665525224736	67.0	151.0	151	27.27272727272727	4.823970999999999
IDDLNTM100_R2	43.27163616013816	65.0	151.0	151	27.27272727272727	4.823970999999999
IDDLNTM101_R1	43.978316433678025	64.0	151.0	151	27.27272727272727	4.895714
IDDLNTM101_R2	42.293788284031585	62.0	151.0	151	27.27272727272727	4.895714
IDDLNTM102_R1	32.26848058522968	66.0	151.0	151	27.27272727272727	2.737311
IDDLNTM102_R2	31.66727521838051	65.0	151.0	151	27.27272727272727	2.737311
IDDLNTM105_R1	39.32872062403416	63.0	151.0	151	27.27272727272727	3.919825
IDDLNTM105_R2	38.86804606889296	61.0	151.0	151	27.27272727272727	3.919825
IDDLNTM107_R1	45.74656656563915	67.0	151.0	151	27.27272727272727	5.115308
IDDLNTM107_R2	44.25131412459974	66.0	151.0	151	27.27272727272727	5.115308
IDDLNTM108.A_R1	44.12402124456805	64.0	151.0	151	27.27272727272727	5.072317
IDDLNTM108.A_R2	45.3419849216933	62.0	151.0	151	27.27272727272727	5.072317
IDDLNTM108.B_R1	39.49570231377145	64.0	151.0	151	27.27272727272727	4.050148
IDDLNTM108.B_R2	39.2246840618855	62.0	151.0	151	27.27272727272727	4.050148
IDDLNTM109_R1	41.127593778396744	67.0	151.0	151	27.27272727272727	3.9575419999999997
IDDLNTM109_R2	40.229099625496175	65.0	151.0	151	27.27272727272727	3.9575419999999997
IDDLNTM111_R1	37.69321635901676	66.0	151.0	151	27.27272727272727	5.175689
IDDLNTM111_R2	36.77442935660734	64.0	151.0	151	27.27272727272727	5.175689
IDDLNTM112_R1	44.74521427960628	67.0	151.0	151	27.27272727272727	4.954974
IDDLNTM112_R2	43.70044057523044	66.0	151.0	151	27.27272727272727	4.954974
IDDLNTM113_R1	31.1295468073249	67.0	151.0	151	27.27272727272727	2.180364
IDDLNTM113_R2	29.868419584227937	66.0	151.0	151	27.27272727272727	2.180364
IDDLNTM116_R1	38.46557050189622	66.0	151.0	151	27.27272727272727	4.264108
IDDLNTM116_R2	37.51600537215282	65.0	151.0	151	27.27272727272727	4.264108
IDDLNTM117_R1	29.66916576991086	67.0	151.0	151	27.27272727272727	3.854993
IDDLNTM117_R2	29.366785966678805	64.0	151.0	151	27.27272727272727	3.854993
IDDLNTM12.A_R1	43.59345585642765	65.0	151.0	151	27.27272727272727	5.003775999999999
IDDLNTM12.A_R2	42.50110652446868	62.0	151.0	151	27.27272727272727	5.003775999999999
IDDLNTM12.B_R1	41.40163718618696	63.0	151.0	151	27.27272727272727	4.60896
IDDLNTM12.B_R2	40.15418788425889	62.0	151.0	151	27.27272727272727	4.60896
IDDLNTM120_R1	55.71967385164873	67.0	151.0	151	36.36363636363637	10.194092999999999
IDDLNTM120_R2	54.2050696061818	66.0	151.0	151	36.36363636363637	10.194092999999999
IDDLNTM121_R1	55.58404187112633	67.0	151.0	151	36.36363636363637	7.612258
IDDLNTM121_R2	52.941969852226926	66.0	151.0	151	36.36363636363637	7.612258
IDDLNTM124_R1	43.5832996329103	67.0	151.0	151	27.27272727272727	6.296118
IDDLNTM124_R2	41.757313864115	65.0	151.0	151	27.27272727272727	6.296118
IDDLNTM126_R1	31.97386825436071	63.0	151.0	151	27.27272727272727	3.3724439999999998
IDDLNTM126_R2	32.47528313984054	62.0	151.0	151	27.27272727272727	3.3724439999999998
IDDLNTM127_R1	39.53380448995398	64.0	151.0	151	27.27272727272727	4.537402
IDDLNTM127_R2	38.72665435533924	62.0	151.0	151	27.27272727272727	4.537402
IDDLNTM128_R1	42.76018845195748	64.0	151.0	151	27.27272727272727	4.472242
IDDLNTM128_R2	41.3197685886382	62.0	151.0	151	27.27272727272727	4.472242
IDDLNTM129_R1	46.2853875231841	63.0	151.0	151	27.27272727272727	4.913442
IDDLNTM129_R2	44.18835061675499	62.0	151.0	151	27.27272727272727	4.913442
IDDLNTM13.A_R1	42.495038792548065	67.0	151.0	151	27.27272727272727	4.307929
IDDLNTM13.A_R2	41.19944310790934	65.0	151.0	151	27.27272727272727	4.307929
IDDLNTM13.B_R1	42.05873912798436	67.0	151.0	151	27.27272727272727	4.158355
IDDLNTM13.B_R2	41.03057542169971	65.0	151.0	151	27.27272727272727	4.158355
IDDLNTM131_R1	46.17439701948369	63.0	151.0	151	27.27272727272727	4.9150979999999995
IDDLNTM131_R2	44.93412791320518	62.0	151.0	151	27.27272727272727	4.9150979999999995
IDDLNTM132_R1	47.1173760797341	64.0	151.0	151	27.27272727272727	5.513738
IDDLNTM132_R2	44.32721608235077	62.0	151.0	151	27.27272727272727	5.513738
